"name","mana_cost","combined_mana_cost","card_text","power","toughness","standard","commander","type","First_keyword","Second_keyword","Third_keyword","Fourth_keyword","Fifth_keyword","layout","prints_search_uri","rarity","number_keywords","Flying","Deathtouch","Haste","Vigilance","Broad_type","sanitised_name","Sixth_keyword"
"Bloodfell Caves",NA,0,"This land enters tapped.When this land enters, you gain 1 life.{T}: Add {B} or {R}.",NA,NA,"legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A64e29bfc-9313-4e8c-808c-bc27f6b018a6&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Bloodfell Caves",NA
"Rugged Highlands",NA,0,"This land enters tapped.When this land enters, you gain 1 life.{T}: Add {R} or {G}.",NA,NA,"legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6c922206-6e68-4dcd-9559-88da1074f2c4&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Rugged Highlands",NA
"Scoured Barrens",NA,0,"This land enters tapped.When this land enters, you gain 1 life.{T}: Add {W} or {B}.",NA,NA,"legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ad37f858e-03c8-4594-9b92-cd03699a1591&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Scoured Barrens",NA
"Thornwood Falls",NA,0,"This land enters tapped.When this land enters, you gain 1 life.{T}: Add {G} or {U}.",NA,NA,"legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aec96cde2-f1e6-495c-94e2-3e8ae79e556c&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Thornwood Falls",NA
"Tranquil Cove",NA,0,"This land enters tapped.When this land enters, you gain 1 life.{T}: Add {W} or {U}.",NA,NA,"legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5d641bf6-0f93-4189-8dc1-ec7ea446dade&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Tranquil Cove",NA
"Wind-Scarred Crag",NA,0,"This land enters tapped.When this land enters, you gain 1 life.{T}: Add {R} or {W}.",NA,NA,"legal","legal","Land",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab0af0c54-2a59-4075-8543-d41ff20c4c87&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Wind-Scarred Crag",NA
"Katilda, Dawnhart Martyr // Katilda's Rising Dawn",NA,3,NA,NA,NA,"not_legal","legal","Legendary Creature — Spirit Warlock // Legendary Enchantment — Aura","Flying","Lifelink","Transform","Protection","Enchant","transform","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A493b2820-c250-48bd-9f3c-e1b5639ee101&unique=prints","rare",6,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Katilda, Dawnhart Martyr // Katildas Rising Dawn","Disturb"
"Sheoldred, Whispering One","{5}{B}{B}",7,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)At the beginning of your upkeep, return target creature card from your graveyard to the battlefield.At the beginning of each opponent's upkeep, that player sacrifices a creature of their choice.",6,6,"not_legal","legal","Legendary Creature — Phyrexian Praetor","Landwalk","Swampwalk",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9218b56d-aaec-482f-99e9-d95d227bfe25&unique=prints","mythic",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Sheoldred, Whispering One",NA
"Monk of the Open Hand","{W}",1,"Flurry of Blows — Whenever you cast your second spell each turn, put a +1/+1 counter on this creature.",1,1,"not_legal","legal","Creature — Elf Monk",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A2d3998fc-a68a-4923-a456-b3e43ab6decb&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Monk of the Open Hand",NA
"Half-Elf Monk","{3}{W}",4,"VigilanceStunning Strike — {1}{W}, {T}: Tap target creature.",1,4,"not_legal","legal","Creature — Human Elf Monk","Vigilance",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A00d11662-9d10-4915-b80c-c1ad54b4e71b&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Vigilance","Creature","Half-Elf Monk",NA
"Drownyard Amalgam","{4}{U}",5,"When this creature enters, target player mills three cards. (They put the top three cards of their library into their graveyard.){2}{U}: This creature can't be blocked this turn.",3,6,"not_legal","legal","Creature — Zombie Horror","Mill",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A2378d6fc-b6ba-4a44-b951-5698ed507e4c&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Drownyard Amalgam",NA
"Strix Serenade","{U}",1,"Counter target artifact, creature, or planeswalker spell. Its controller creates a 2/2 blue Bird creature token with flying.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7ca3aa03-e62d-464a-9111-e754abe17f76&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Strix Serenade",NA
"Dreamtide Whale","{2}{U}",3,"Vanishing 2 (This creature enters with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)Whenever a player casts their second spell each turn, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",7,5,"not_legal","legal","Creature — Whale","Vanishing","Proliferate",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aee8c0b4c-03c5-4da5-b4f1-028c845384af&unique=prints","rare",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dreamtide Whale",NA
"Storm of Saruman","{4}{U}{U}",6,"Ward {3}Whenever you cast your second spell each turn, copy it, except the copy isn't legendary. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",NA,NA,"not_legal","legal","Enchantment","Ward",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Acf5f4860-e805-46a3-9352-a2c583e33403&unique=prints","mythic",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Storm of Saruman",NA
"Ugin's Binding","{2}{U}",3,"Devoid (This card has no color.)Return target nonland permanent you don't control to its owner's hand.Whenever you cast a colorless spell with mana value 7 or greater, you may exile this card from your graveyard. When you do, return each nonland permanent you don't control to its owner's hand.",NA,NA,"not_legal","legal","Instant","Devoid",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aed622e71-f348-4e46-8fb9-05aae430983a&unique=prints","mythic",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Ugins Binding",NA
"Council's Deliberation","{1}{U}",2,"Draw a card.Whenever you scry, if you control an Island, you may exile this card from your graveyard. If you do, draw a card.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3280488d-e94b-4d53-b279-c32ed711d4bc&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Councils Deliberation",NA
"Surrounded by Orcs","{3}{U}",4,"Amass Orcs 3, then target player mills X cards, where X is the amassed Army's power. (To amass Orcs 3, put three +1/+1 counters on an Army you control. It's also an Orc. If you don't control an Army, create a 0/0 black Orc Army creature token first.)",NA,NA,"not_legal","legal","Sorcery","Amass","Mill",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A65c5e120-7a3d-475f-9bb2-8ddb5062e4ba&unique=prints","common",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Surrounded by Orcs",NA
"Captain of Umbar","{2}{U}",3,"{1}, {T}: Draw a card, then discard a card.",2,3,"not_legal","legal","Creature — Human Pirate",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1941f993-41d7-49e3-8891-41b3cecd5a9d&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Captain of Umbar",NA
"Soothing of Sméagol","{1}{U}",2,"Return target nontoken creature to its owner's hand. The Ring tempts you.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A35a17b42-9d3f-49ef-8218-2780c5ef5f08&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Soothing of Sméagol",NA
"Dreadful as the Storm","{2}{U}",3,"Target creature has base power and toughness 5/5 until end of turn. The Ring tempts you.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abd9f4f20-cdef-4a20-b4cb-4f25c137a786&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Dreadful as the Storm",NA
"Glorious Gale","{1}{U}",2,"Counter target creature spell. If it was a legendary spell, the Ring tempts you.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A858265c2-6415-4938-a6ec-734d53046100&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Glorious Gale",NA
"Horses of the Bruinen","{3}{U}{U}",5,"Return up to two target creatures to their owners' hands. Scry 1. The Ring tempts you.",NA,NA,"not_legal","legal","Sorcery","Scry",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A100d1c9e-15aa-4bab-9fb3-76c2cd6abc2f&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Horses of the Bruinen",NA
"You Find the Villains' Lair","{1}{U}{U}",3,"Choose one —• Foil Their Scheme — Counter target spell.• Learn Their Secrets — Draw two cards, then discard two cards.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A41cdeb52-e90f-44f8-94d2-23aa032c4870&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","You Find the Villains Lair",NA
"Petrifying Meddler","{4}{U}",5,"Devoid (This card has no color.)When you cast this spell, tap up to one target creature and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)Reach",4,5,"not_legal","legal","Creature — Eldrazi","Reach","Devoid",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abd9b3009-f389-4831-b250-80c4bb8f25e5&unique=prints","common",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Petrifying Meddler",NA
"Triton Wavebreaker","{U}",1,"Bestow {1}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)As long as this permanent is a creature, it has prowess. (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Enchanted creature gets +1/+1 and has prowess.",1,1,"not_legal","legal","Enchantment Creature — Merfolk Wizard","Bestow",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ad2309fba-4273-4084-b206-642a43975c34&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Triton Wavebreaker",NA
"Reef Worm","{3}{U}",4,"When this creature dies, create a 3/3 blue Fish creature token with ""When this token dies, create a 6/6 blue Whale creature token with 'When this token dies, create a 9/9 blue Kraken creature token.'""",0,1,"not_legal","legal","Creature — Worm",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae3ad5cbc-4245-4e1e-8204-509381fa0c1c&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Reef Worm",NA
"Unfathomable Truths","{4}{U}",5,"Devoid (This card has no color.)Draw three cards and create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this token: Add {C}.""",NA,NA,"not_legal","legal","Instant","Devoid",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A63765157-e2ba-4cec-9501-8a405259de5b&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Unfathomable Truths",NA
"Tune the Narrative","{U}",1,"Draw a card. You get {E}{E} (two energy counters).",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4262a726-d1da-4bdc-ab14-73212aa83f9c&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Tune the Narrative",NA
"Bespoke Battlewagon","{3}{U}",4,"{T}: You get {E}{E} (two energy counters).{T}, Pay {E}{E}: Tap target creature.{T}, Pay {E}{E}{E}: Draw a card.Pay {E}{E}{E}{E}: This Vehicle becomes an artifact creature until end of turn.Crew 4",5,6,"not_legal","legal","Artifact — Vehicle","Crew",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Acdfcfd2b-966a-4e03-8ed5-4fa7fab423d0&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Bespoke Battlewagon",NA
"Kozilek's Unsealing","{2}{U}",3,"Devoid (This card has no color.)Whenever you cast a creature spell with mana value 4, 5, or 6, create two 0/1 colorless Eldrazi Spawn creature tokens with ""Sacrifice this token: Add {C}.""Whenever you cast a creature spell with mana value 7 or greater, draw three cards.",NA,NA,"not_legal","legal","Enchantment","Devoid",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abd9d761f-79cc-4082-8375-51af582f1472&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Kozileks Unsealing",NA
"Tempest Harvester","{1}{U}",2,"When this creature enters, you get {E}{E} (two energy counters).{T}, Pay {E}: Draw a card, then discard a card.",2,1,"not_legal","legal","Creature — Merfolk Wizard",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5c0ffe37-16ce-4788-a434-58b6fc34bd9c&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Tempest Harvester",NA
"Ardent Elementalist","{3}{R}",4,"When this creature enters, return target instant or sorcery card from your graveyard to your hand.",2,1,"not_legal","legal","Creature — Human Shaman",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1edd4f50-05ee-43e0-a288-c26666910c8b&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Ardent Elementalist",NA
"Skyfire Phoenix","{2}{R}{R}",4,"Flying, hasteWhen you cast your commander, return this card from your graveyard to the battlefield.",3,3,"not_legal","legal","Creature — Phoenix","Flying","Haste",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8fdb3350-a6ff-4d02-a649-10663436c40f&unique=prints","rare",2,"Flying","Not deathtouch","Haste","Not vigilance","Creature","Skyfire Phoenix",NA
"You Find Some Prisoners","{1}{R}",2,"Choose one —• Break Their Chains — Destroy target artifact.• Interrogate Them — Exile the top three cards of target opponent's library. Choose one of them. Until the end of your next turn, you may play that card, and you may spend mana as though it were mana of any color to cast it.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A467c526a-02a7-405d-98de-c632ea83519b&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","You Find Some Prisoners",NA
"Hobgoblin Captain","{1}{R}",2,"Pack tactics — Whenever this creature attacks, if you attacked with creatures with total power 6 or greater this combat, this creature gains first strike until end of turn.",3,1,"not_legal","legal","Creature — Goblin Barbarian","Pack tactics",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4d92b3d3-d34b-430f-af6a-db512d204d06&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Hobgoblin Captain",NA
"Arlinn, Voice of the Pack","{4}{G}{G}",6,"Each creature you control that's a Wolf or a Werewolf enters with an additional +1/+1 counter on it.−2: Create a 2/2 green Wolf creature token.",NA,NA,"not_legal","legal","Legendary Planeswalker — Arlinn",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa15b83df-91b7-49f0-9bec-5776a3dac8bd&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Planeswalker","Arlinn, Voice of the Pack",NA
"Dawnhart Rejuvenator","{3}{G}",4,"When this creature enters, you gain 3 life.{T}: Add one mana of any color.",2,4,"not_legal","legal","Creature — Human Warlock",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ac6e92911-a100-43eb-ab4b-3778b0db1918&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dawnhart Rejuvenator",NA
"The Tarrasque","{6}{G}{G}{G}",9,"The Tarrasque has haste and ward {10} as long as it was cast.Whenever The Tarrasque attacks, it fights target creature defending player controls.",10,10,"not_legal","legal","Legendary Creature — Dinosaur","Fight",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abfd66214-e576-4a7e-8559-4e4e51d56b98&unique=prints","mythic",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","The Tarrasque",NA
"Elturgard Ranger","{4}{G}",5,"ReachWhen this creature enters, create a 2/2 green Wolf creature token.",4,1,"not_legal","legal","Creature — Human Elf Ranger","Reach",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A27083627-a5d0-4fc6-9e66-fa44803ef080&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Elturgard Ranger",NA
"Bulette","{3}{G}",4,"At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature.",3,3,"not_legal","legal","Creature — Beast",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4e690b82-9877-41f2-9dcd-cffdb6e3cd64&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Bulette",NA
"Triskaidekaphobia","{3}{B}",4,"At the beginning of your upkeep, choose one —• Each player with exactly 13 life loses the game, then each player gains 1 life.• Each player with exactly 13 life loses the game, then each player loses 1 life.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ad5b131c7-29d4-4745-95e3-70bdf9bf54b3&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Triskaidekaphobia",NA
"Grim Bounty","{2}{B}{B}",4,"Destroy target creature or planeswalker. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",NA,NA,"not_legal","legal","Sorcery","Treasure",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8060dc97-9868-4846-85f4-0ef70da2b021&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Grim Bounty",NA
"Zombie Ogre","{3}{B}{B}",5,"At the beginning of your end step, if a creature died this turn, venture into the dungeon. (Enter the first room or advance to the next room.)",3,5,"not_legal","legal","Creature — Zombie Ogre","Venture into the dungeon",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0898fb77-d304-496c-8f2e-1cfe50cc5507&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Zombie Ogre",NA
"Legolas, Counter of Kills","{2}{G}{U}",4,"ReachWhenever you scry, if Legolas is tapped, you may untap it. Do this only once each turn.Whenever a creature an opponent controls dies, put a +1/+1 counter on Legolas.",2,3,"not_legal","legal","Legendary Creature — Elf Archer","Reach",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Addc12487-f577-4def-acdb-491f7ba6dc51&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Legolas, Counter of Kills",NA
"Gandalf's Sanction","{1}{U}{R}",3,"Gandalf's Sanction deals X damage to target creature, where X is the number of instant and sorcery cards in your graveyard. Excess damage is dealt to that creature's controller instead.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6696d2e4-28ee-4ba7-8710-c1b735745270&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Gandalfs Sanction",NA
"Nadu, Winged Wisdom","{1}{G}{U}",3,"FlyingCreatures you control have ""Whenever this creature becomes the target of a spell or ability, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand. This ability triggers only twice each turn.""",3,4,"not_legal","banned","Legendary Creature — Bird Wizard","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0ff11a61-6fe3-4c70-aba8-417023a5e54e&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Nadu, Winged Wisdom",NA
"Sauron's Ransom","{1}{U}{B}",3,"Choose an opponent. They look at the top four cards of your library and separate them into a face-down pile and a face-up pile. Put one pile into your hand and the other into your graveyard. The Ring tempts you.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Afe04a81b-413c-4bc8-bb83-29978da9a43d&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Saurons Ransom",NA
"Lotho, Corrupt Shirriff","{W}{B}",2,"Whenever a player casts their second spell each turn, you lose 1 life and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",2,1,"not_legal","legal","Legendary Creature — Halfling Rogue","Treasure",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A135cc078-1c45-465e-b0b9-7168c89f56f4&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Lotho, Corrupt Shirriff",NA
"Samwise Gamgee","{G}{W}",2,"Whenever another nontoken creature you control enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")Sacrifice three Foods: Return target historic card from your graveyard to your hand. (Artifacts, legendaries, and Sagas are historic.)",2,2,"not_legal","legal","Legendary Creature — Halfling Peasant","Food",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7ce37c26-91ea-493f-bfc3-a890d4538bc1&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Samwise Gamgee",NA
"Merry, Esquire of Rohan","{R}{W}",2,"HasteMerry has first strike as long as it's equipped.Whenever you attack with Merry and another legendary creature, draw a card.",2,2,"not_legal","legal","Legendary Creature — Halfling Knight","Haste",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4dce1f49-ddad-4748-893a-e10d831ee7d7&unique=prints","rare",1,"Not flying","Not deathtouch","Haste","Not vigilance","Creature","Merry, Esquire of Rohan",NA
"Frodo Baggins","{G}{W}",2,"Whenever Frodo Baggins or another legendary creature you control enters, the Ring tempts you.As long as Frodo Baggins is your Ring-bearer, it must be blocked if able.",1,3,"not_legal","legal","Legendary Creature — Halfling Scout",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ad4dd6edf-1e9e-46fa-92b5-5df9aa0e4338&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Frodo Baggins",NA
"Prince Imrahil the Fair","{W}{U}",2,"Whenever you draw your second card each turn, create a 1/1 white Human Soldier creature token.",2,2,"not_legal","legal","Legendary Creature — Human Noble",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4c66e0ca-2d8a-4f68-ad15-55d75959d6e8&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Prince Imrahil the Fair",NA
"Mauhúr, Uruk-hai Captain","{B}{R}",2,"MenaceIf one or more +1/+1 counters would be put on an Army, Goblin, or Orc you control, that many plus one +1/+1 counters are put on it instead.",2,2,"not_legal","legal","Legendary Creature — Orc Soldier","Menace",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9966cac0-331f-4627-be5a-5060a6ac5a32&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Mauhúr, Uruk-hai Captain",NA
"Rise of the Witch-king","{2}{B}{G}",4,"Each player sacrifices a creature of their choice. If you sacrificed a creature this way, you may return another permanent card from your graveyard to the battlefield.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3c86541c-3601-4a38-8872-39705e41303a&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Rise of the Witch-king",NA
"Sneaky Snacker","{U}{B}",2,"FlyingWhen you draw your third card in a turn, return this card from your graveyard to the battlefield tapped.",2,1,"not_legal","legal","Creature — Faerie Rogue","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af255492e-4e12-48b4-9c19-8a2a2780a1b7&unique=prints","common",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Sneaky Snacker",NA
"Obstinate Gargoyle","{1}{W}{B}",3,"This creature has flying as long as it's modified. (Equipment, Auras you control, and counters are modifications.)Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",2,2,"not_legal","legal","Artifact Creature — Gargoyle","Persist",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af3bd9bfe-847f-4ed1-88aa-6aa6b3fa7199&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Obstinate Gargoyle",NA
"Scurry of Gremlins","{2}{R}{W}",4,"When this enchantment enters, create two 1/1 red Gremlin creature tokens. Then you get an amount of {E} (energy counters) equal to the number of creatures you control.Pay {E}{E}{E}{E}: Creatures you control get +1/+0 and gain haste until end of turn.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aff24d18d-9c5d-4ffe-846f-a8d568b32724&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Scurry of Gremlins",NA
"Conduit Goblin","{R}{W}",2,"When this creature enters, you get {E}{E} (two energy counters).At the beginning of combat on your turn, you may pay {E}. If you do, another target creature you control gets +1/+0 and gains haste until end of turn.",2,2,"not_legal","legal","Creature — Goblin Warrior",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0d3a38ff-4b75-4e97-9d8f-c54f441f8208&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Conduit Goblin",NA
